,0
0,0.04
1,0.25
2,0.060000000000000005
3,0.81
4,0.99
5,0.8400000000000001
6,0.98
7,0.02
8,0.99
9,0.54
10,0.09999999999999999
11,0.03
12,0.23
13,0.05
14,0.02
15,0.04
16,0.05
17,0.14
18,0.060000000000000005
19,0.24000000000000002
20,0.39
21,0.09
22,0.09999999999999999
23,0.15000000000000002
24,0.22
25,0.05
26,0.05
27,0.060000000000000005
28,0.26
29,0.21000000000000002
30,0.27
31,0.08
32,0.060000000000000005
33,0.02
34,0.2
35,0.19
36,0.6
37,0.27
38,0.28
39,0.09
40,0.09999999999999999
41,0.3
42,0.27
43,0.61
44,0.55
45,0.53
46,0.47000000000000003
47,0.41000000000000003
48,0.39
49,0.38
50,0.17
51,0.28
52,0.24000000000000002
53,0.3
54,0.19
55,0.12
56,0.08
57,0.42000000000000004
58,0.29000000000000004
59,0.43
60,0.29000000000000004
61,0.29000000000000004
62,0.23
63,0.14
64,0.06999999999999999
65,0.17
66,0.62
67,0.23
68,0.060000000000000005
69,0.28
70,0.3
71,0.3
72,0.18000000000000002
73,0.06999999999999999
74,0.13
75,0.03
76,0.73
77,0.08
78,0.22
79,0.16
80,0.09
81,0.01
82,0.21000000000000002
83,0.02
84,0.02
85,0.02
86,0.01
87,0.01
